batch-5-learning-89-regular-1,12560.0,0.9876,0.806,0.7462,13580.0,1.612,40.31,1.081,0.7121,39.6,0.00293,0.9989,0.03722,2.7104e-06,2.159,53.99,0.3017,2105.0,0.018434,1.36394890835
batch-5-learning-89-regular-1,10248.8888889,1.01522222222,0.722333333333,0.607777777778,12188.8888889,1.44444444444,36.1222222222,1.19,0.299333333333,113.222222222,0.00930333333333,0.996222222222,0.431444444444,3.51e-05,2.38222222222,59.5666666667,0.742222222222,2107.77777778,0.178622222222,1.33966817076
batch-5-learning-89-regular-1,12920.0,1.0213,1.1643,0.768,19600.0,2.33,58.24,1.519,0.8572,24.24,0.001238,0.9993,0.021181,1.07018e-06,3.035,75.84,0.2908,2102.0,0.006947,1.31977297137
batch-5-learning-89-regular-1,11464.0,1.0053,0.9616,0.6809,16150.0,1.925,48.09,1.417,0.719,28.2,0.001738,0.9987,0.029577,1.8185e-06,2.833,70.82,0.2973,2100.0,0.016035,1.28212737076
batch-5-learning-89-regular-1,12800.0,0.9827,1.136,0.7617,19140.0,2.276,56.89,1.497,0.7483,15.88,0.0008309,0.9973,0.033195,1.7154e-06,2.996,74.89,0.2995,2100.0,0.0115589,1.33484765329
batch-4-learning-34-regular-1,12620.0,0.9958,0.8707,0.7499,14640.0,1.741,43.55,1.163,0.7213,50.46,0.003444,0.9992,0.03781,2.6114e-06,2.322,58.09,0.3004,2101.0,0.017498,0.942564737659
batch-4-learning-34-regular-1,14550.0,0.9849,1.054,0.8662,17690.0,2.106,52.62,1.214,0.6838,52.26,0.002963,0.9996,0.028095,1.5944e-06,2.43,60.73,0.2936,2100.0,0.0146279,1.14784575678
batch-4-learning-34-regular-1,13780.0,1.0014,0.7866,0.816,13260.0,1.574,39.33,0.9664,0.08592,256.8,0.01928,0.9973,0.672,5.058e-05,1.933,48.28,0.9444,2108.0,0.2247,1.21322616971
batch-4-learning-34-regular-1,9913.0,0.987,1.116,0.588,18850.0,2.232,55.8,1.902,0.8054,15.24,0.0008076,0.9986,0.022377,1.1897e-06,3.803,95.1,0.2926,2110.0,0.0070425,0.925760484589
batch-4-learning-34-regular-1,13370.0,1.0124,0.795,0.7956,13370.0,1.591,39.75,1.0022,0.0752,278.8,0.02089,0.9977,0.5994,4.481e-05,2.004,50.1,0.8165,2100.0,0.1654,1.07968903276
batch-1-learning-56-regular-3,11350.0,1.0049,0.8316,0.6735,13990.0,1.662,41.56,1.236,0.7088,49.65,0.003539,0.9992,0.034765,2.4436e-06,2.473,61.83,0.3003,2105.0,0.016162,0.874431976584
batch-1-learning-56-regular-3,16660.0,1.0004,1.24,0.9909,20840.0,2.475,61.94,1.25,0.04778,104.2,0.005003,0.9998,0.02409,1.1577e-06,2.501,62.51,0.2947,2101.0,0.008364,0.941189205008
