Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
hash-7-itr-19-probe-2,facedetect:eyes-0-pyramid-13-selectivity-1,2257.77777778,1.06888888889,0.181,0.133888888889,3053.33333333,0.362222222222,9.05444444444,1.35222222222,0.937888888889,0.488444444444,0.000160333333333,0.963555555556,0.0210711111111,6.91e-06,2.70333333333,67.6111111111,0.0154688888889,2106.66666667,0.00819,1.02948482851
hash-7-itr-19-probe-2,facedetect:eyes-2-pyramid-5-selectivity-2,2301.11111111,1.06888888889,0.180777777778,0.134555555556,3092.22222222,0.361444444444,9.03555555556,1.34222222222,0.939444444444,0.496666666667,0.000161222222222,0.943666666667,0.0300777777778,9.76666666667e-06,2.68666666667,67.1666666667,0.0222555555556,2137.77777778,0.0111844444444,1.02636441533
hash-8-itr-7-probe-20,facedetect:eyes-0-pyramid-13-selectivity-1,2264.44444444,1.06888888889,0.181222222222,0.134,3060.0,0.362555555556,9.06333333333,1.35111111111,0.936111111111,0.511888888889,0.000167444444444,0.959555555556,0.0244777777778,8.02111111111e-06,2.70111111111,67.5555555556,0.0156911111111,2111.11111111,0.00824111111111,1.03481243467
hash-8-itr-7-probe-20,swaptions:num-900000,2435.55555556,1.06444444444,0.358777777778,0.142555555556,6134.44444444,0.717444444444,17.9333333333,2.53444444444,0.970555555556,0.2006,3.22088888889e-05,0.925444444444,0.0107466666667,1.76566666667e-06,5.06777777778,126.666666667,0.287777777778,2138.88888889,0.0513667777778,1.03737028414
hash-8-itr-7-probe-20,bodytrack:layer-5-particle-3133,2271.11111111,1.06666666667,0.298777777778,0.134444444444,5050.0,0.597444444444,14.9444444444,2.22333333333,0.820111111111,7.51555555556,0.00148777777778,0.996111111111,0.0285666666667,5.65222222222e-06,4.44666666667,111.111111111,0.0350777777778,2112.22222222,0.0155244444444,1.03327188064
hash-8-itr-7-probe-20,facedetect:eyes-1-pyramid-9-selectivity-2,2324.44444444,1.06555555556,0.184,0.137,3124.44444444,0.368222222222,9.20444444444,1.34222222222,0.921555555556,0.690555555556,0.000219444444444,0.942777777778,0.0428222222222,1.35988888889e-05,2.68888888889,67.2111111111,0.0306022222222,2120.0,0.0136944444444,1.02927646584
hash-8-itr-7-probe-20,bodytrack:layer-3-particle-2700,2300.0,1.06222222222,0.305333333333,0.134444444444,5224.44444444,0.610333333333,15.2666666667,2.27333333333,0.78,8.59555555556,0.00164555555556,0.996333333333,0.0324,6.21777777778e-06,4.54,113.444444444,0.0474111111111,2144.44444444,0.0203222222222,1.03913261427
hash-8-itr-7-probe-20,facedetect:eyes-2-pyramid-7-selectivity-1,2281.11111111,1.06888888889,0.182444444444,0.135222222222,3076.66666667,0.364777777778,9.12111111111,1.35,0.934555555556,0.515777777778,0.000167555555556,0.925,0.0406,1.30855555556e-05,2.69777777778,67.4444444444,0.0286222222222,2106.66666667,0.0135022222222,1.03663689062
hash-8-itr-7-probe-20,facedetect:eyes-2-pyramid-18-selectivity-2,2253.33333333,1.06888888889,0.181222222222,0.134,3050.0,0.362666666667,9.06333333333,1.35222222222,0.939333333333,0.469444444444,0.000153888888889,0.963555555556,0.0203033333333,6.66777777778e-06,2.70444444444,67.6111111111,0.0128077777778,2101.11111111,0.00632555555556,1.0352284282
hash-8-itr-7-probe-20,swaptions:num-100000,2252.22222222,1.06666666667,0.353111111111,0.133666666667,5945.55555556,0.706,17.6444444444,2.64,0.980222222222,0.0922666666667,1.55155555556e-05,0.881444444444,0.00883,1.48577777778e-06,5.27888888889,131.888888889,0.00408222222222,2105.55555556,0.000803666666667,1.03589803288
