;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
hash 3 iteration 22 probe 16;8.25e+03;1.04;8.87;0;10.5;35.8;0;0;0;0;0;2018-11-05;0.155;0.0923;1.39e+04;0.31;7.76;1.68;0.618;6.41;0.000462;0.525;2.98;0.000215;3.36;84;48;1.2;1.12e+04;17:25:47.244;0.156;
hash 2 iteration 25 probe 20;7.97e+03;1.03;8.68;0;10.1;35.5;0;0;0;0;0;2018-11-05;0.156;0.0898;1.38e+04;0.312;7.81;1.74;0.709;5.52;0.000399;0.555;2.43;0.000176;3.47;86.9;47.5;1;1.11e+04;17:23:51.777;0.152;
hash 5 iteration 17 probe 12;8.47e+03;1.04;8.78;0;19.1;20.7;0;0;0;0;0;2018-11-05;0.153;0.0915;1.42e+04;0.307;7.67;1.68;0.61;8.35;0.000587;0.474;4.37;0.000307;3.35;83.9;50.3;1.66;1.16e+04;17:22:36.542;0.154;
hash 5 iteration 17 probe 14;8.64e+03;1.04;8.93;0;9.38;33.7;0;0;0;0;0;2018-11-05;0.155;0.0928;1.44e+04;0.31;7.74;1.67;0.564;8.94;0.000621;0.466;4.7;0.000327;3.34;83.4;50.3;1.79;1.16e+04;17:22:13.552;0.163;
hash 4 iteration 19 probe 18;8.77e+03;1.04;9.17;0;10.9;30.7;0;0;0;0;0;2018-11-05;0.159;0.0954;1.46e+04;0.319;7.96;1.67;0.568;8.87;0.000606;0.52;4.23;0.000289;3.34;83.5;51.3;1.59;1.15e+04;17:23:19.804;0.185;
hash 5 iteration 17 probe 16;8.6e+03;1.03;8.86;0;9.45;33.8;0;0;0;0;0;2018-11-05;0.152;0.091;1.43e+04;0.303;7.58;1.67;0.586;9.23;0.000644;0.456;4.99;0.000348;3.33;83.4;50.5;1.86;1.18e+04;17:21:44.442;0.158;
hash 3 iteration 25 probe 16;8.14e+03;1.04;8.78;0;11.6;30.7;0;0;0;0;0;2018-11-05;0.156;0.0913;1.39e+04;0.312;7.8;1.71;0.671;6.47;0.000465;0.522;3.03;0.000218;3.42;85.5;48;1.22;1.12e+04;17:24:46.677;0.157;
hash 5 iteration 17 probe 18;9.13e+03;1.04;9.26;0;12.4;30.5;0;0;0;0;0;2018-11-05;0.157;0.0965;1.49e+04;0.315;7.87;1.63;0.594;10.6;0.000713;0.488;5.42;0.000363;3.26;81.6;53.3;1.98;1.18e+04;17:28:23.063;0.187;
hash 7 iteration 19 probe 2;8.13e+03;1.04;8.71;0;11.7;31.9;0;0;0;0;0;2018-11-05;0.155;0.0902;1.4e+04;0.31;7.75;1.72;0.586;6.27;0.000448;0.534;2.9;0.000207;3.44;86;48.6;1.24;1.13e+04;17:30:27.407;0.153;
hash 6 iteration 14 probe 12;8.66e+03;1.03;8.9;0;10.3;32;0;0;0;0;0;2018-11-05;0.153;0.0914;1.45e+04;0.306;7.64;1.67;0.563;9.12;0.00063;0.451;4.98;0.000344;3.34;83.6;50.7;1.86;1.18e+04;17:23:08.446;0.161;
hash 7 iteration 12 probe 6;8.86e+03;1.04;9.21;0;10.1;31.3;0;0;0;0;0;2018-11-05;0.16;0.096;1.48e+04;0.32;8.01;1.67;0.585;8.67;0.000587;0.519;4.15;0.000281;3.34;83.4;50.6;1.65;1.15e+04;17:19:41.992;0.191;
hash 7 iteration 12 probe 4;8.77e+03;1.04;9.22;0;11.3;28.7;0;0;0;0;0;2018-11-05;0.161;0.0961;1.47e+04;0.322;8.05;1.68;0.605;8.11;0.000552;0.551;3.58;0.000244;3.35;83.8;51.1;1.48;1.14e+04;17:24:18.027;0.19;
hash 7 iteration 12 probe 2;8.43e+03;1.02;9.05;0;10.3;34.8;0;0;0;0;0;2018-11-05;0.154;0.0925;1.4e+04;0.307;7.68;1.66;0.625;6.24;0.000446;0.534;2.88;0.000206;3.32;83;48.1;1.23;1.14e+04;17:22:47.850;0.154;
hash 6 iteration 7 probe 18;9.16e+03;1.03;9.16;0;10.3;30.4;0;0;0;0;0;2018-11-05;0.155;0.0947;1.49e+04;0.309;7.73;1.63;0.551;11.3;0.000753;0.429;6.39;0.000427;3.26;81.6;53.3;2.32;1.21e+04;17:29:01.127;0.177;
hash 6 iteration 7 probe 16;9.28e+03;1.04;9.33;0;10.4;30.1;0;0;0;0;0;2018-11-05;0.158;0.0974;1.51e+04;0.316;7.91;1.62;0.523;11.1;0.000735;0.478;5.75;0.000381;3.25;81.2;52.4;2.11;1.19e+04;17:18:35.066;0.193;
hash 5 iteration 19 probe 20;8.76e+03;1.04;8.87;0;10.2;33.6;0;0;0;0;0;2018-11-05;0.152;0.0925;1.44e+04;0.305;7.62;1.65;0.521;9.96;0.00069;0.442;5.53;0.000383;3.3;82.4;51.6;1.99;1.18e+04;17:24:29.513;0.157;
hash 6 iteration 7 probe 12;8.76e+03;1.04;8.93;0;11.1;34.1;0;0;0;0;0;2018-11-05;0.154;0.0931;1.45e+04;0.308;7.7;1.65;0.578;9.39;0.000648;0.461;5.03;0.000347;3.31;82.7;50.3;1.88;1.18e+04;17:19:18.697;0.164;
hash 5 iteration 14 probe 16;9.37e+03;1.04;9.55;0;12.8;26.5;0;0;0;0;0;2018-11-05;0.163;0.0996;1.53e+04;0.325;8.14;1.63;0.557;10.9;0.000711;0.487;5.54;0.000362;3.27;81.7;53.4;2.13;1.17e+04;17:30:01.296;0.211;
hash 4 iteration 19 probe 20;8.45e+03;1.04;8.76;0;11.4;34.8;0;0;0;0;0;2018-11-05;0.153;0.0913;1.42e+04;0.307;7.67;1.68;0.608;8.3;0.000585;0.467;4.39;0.00031;3.36;84;50;1.64;1.16e+04;17:30:21.621;0.159;
hash 6 iteration 19 probe 20;9.42e+03;1.04;9.38;0;10.8;29.6;0;0;0;0;0;2018-11-05;0.157;0.0976;1.51e+04;0.314;7.85;1.61;0.552;11.7;0.000774;0.459;6.31;0.000417;3.21;80.4;54.1;2.27;1.21e+04;17:21:47.382;0.191;
hash 8 iteration 2 probe 20;9.45e+03;1.05;9.05;0;9.65;32;0;0;0;0;0;2018-11-05;0.151;0.0948;1.5e+04;0.301;7.54;1.59;0.461;12.9;0.000856;0.398;7.71;0.000513;3.18;79.5;54.8;2.65;1.25e+04;17:27:57.221;0.167;
hash 8 iteration 14 probe 6;8.61e+03;1.02;8.98;0;9.73;33.2;0;0;0;0;0;2018-11-05;0.154;0.0916;1.44e+04;0.307;7.68;1.68;0.567;8.56;0.000594;0.479;4.39;0.000305;3.35;83.8;50.4;1.7;1.17e+04;17:28:49.346;0.157;
hash 3 iteration 25 probe 18;8.37e+03;1.02;9.06;0;10.2;35.3;0;0;0;0;0;2018-11-05;0.157;0.0926;1.42e+04;0.313;7.83;1.69;0.611;7.13;0.000504;0.504;3.5;0.000248;3.38;84.5;48.2;1.43;1.13e+04;17:25:01.314;0.17;
hash 5 iteration 14 probe 18;8.74e+03;1.05;8.84;0;10.2;33.2;0;0;0;0;0;2018-11-05;0.152;0.0924;1.44e+04;0.304;7.61;1.65;0.576;9.7;0.000675;0.436;5.44;0.000378;3.29;82.3;52;1.98;1.18e+04;17:27:42.569;0.161;
hash 8 iteration 17 probe 10;8.87e+03;1.04;8.92;0;10.9;33.4;0;0;0;0;0;2018-11-05;0.152;0.0928;1.46e+04;0.305;7.62;1.64;0.525;10;0.000687;0.441;5.57;0.000382;3.29;82.2;51.3;2.06;1.19e+04;17:19:15.820;0.165;
hash 7 iteration 17 probe 16;9.04e+03;1.04;8.98;0;11.3;32.9;0;0;0;0;0;2018-11-05;0.152;0.0933;1.47e+04;0.304;7.59;1.63;0.487;11;0.000748;0.417;6.38;0.000434;3.25;81.3;52.5;2.29;1.21e+04;17:21:09.347;0.164;
hash 8 iteration 17 probe 12;9.37e+03;1.04;9.31;0;11.5;30.1;0;0;0;0;0;2018-11-05;0.158;0.0972;1.52e+04;0.316;7.9;1.62;0.567;11.4;0.000749;0.469;6.02;0.000396;3.25;81.2;54.3;2.18;1.2e+04;17:24:49.634;0.187;
hash 7 iteration 17 probe 14;9.19e+03;1.03;9.24;0;14.5;30;0;0;0;0;0;2018-11-05;0.151;0.095;1.46e+04;0.302;7.55;1.59;0.554;10.3;0.000708;0.44;5.75;0.000394;3.18;79.4;53.2;2.07;1.21e+04;17:25:29.913;0.156;
hash 8 iteration 17 probe 14;9.5e+03;1.04;9.41;0;12.2;29.3;0;0;0;0;0;2018-11-05;0.157;0.0977;1.53e+04;0.314;7.84;1.61;0.553;12;0.000786;0.465;6.38;0.000418;3.21;80.3;55.6;2.27;1.22e+04;17:28:28.998;0.188;
hash 7 iteration 17 probe 12;8.8e+03;1.05;8.83;0;11.3;28.3;0;0;0;0;0;2018-11-05;0.153;0.0926;1.45e+04;0.306;7.65;1.65;0.529;9.9;0.000681;0.45;5.42;0.000373;3.3;82.6;52.8;1.98;1.19e+04;17:24:06.364;0.159;
hash 8 iteration 17 probe 16;9.67e+03;1.05;9.41;0;11.2;26.1;0;0;0;0;0;2018-11-05;0.157;0.0984;1.54e+04;0.314;7.84;1.59;0.502;12.7;0.000827;0.448;7;0.000454;3.19;79.7;55.9;2.46;1.23e+04;17:29:29.569;0.198;
hash 8 iteration 12 probe 18;9.32e+03;1.03;9.08;0;9.97;31.7;0;0;0;0;0;2018-11-05;0.15;0.0938;1.49e+04;0.301;7.52;1.6;0.48;12.3;0.000821;0.411;7.19;0.000481;3.21;80.2;53.7;2.5;1.24e+04;17:21:50.396;0.162;
hash 8 iteration 17 probe 18;9.51e+03;1.05;9.16;0;10.2;28.7;0;0;0;0;0;2018-11-05;0.152;0.0958;1.51e+04;0.304;7.59;1.58;0.487;12.6;0.000834;0.418;7.29;0.000484;3.17;79.2;55.6;2.54;1.24e+04;17:24:58.540;0.172;
hash 8 iteration 12 probe 16;9.67e+03;1.03;9.43;0;12.7;29.3;0;0;0;0;0;2018-11-05;0.155;0.0973;1.54e+04;0.31;7.74;1.59;0.501;12.7;0.000827;0.445;7.02;0.000457;3.18;79.5;55.2;2.47;1.24e+04;17:21:12.390;0.195;
hash 8 iteration 12 probe 14;9.11e+03;1.04;8.99;0;10.8;29.8;0;0;0;0;0;2018-11-05;0.152;0.0939;1.48e+04;0.304;7.6;1.62;0.491;11.1;0.000753;0.428;6.34;0.000429;3.24;81;53.7;2.27;1.21e+04;17:22:27.936;0.16;
hash 8 iteration 12 probe 12;9.01e+03;1.04;9.02;0;11.1;27.1;0;0;0;0;0;2018-11-05;0.153;0.0936;1.47e+04;0.306;7.65;1.64;0.505;10.7;0.000724;0.443;5.91;0.000401;3.27;81.8;53.4;2.13;1.2e+04;17:23:05.552;0.158;
hash 8 iteration 12 probe 10;8.91e+03;1.05;8.9;0;12.5;29;0;0;0;0;0;2018-11-05;0.153;0.0932;1.46e+04;0.306;7.65;1.64;0.554;10.2;0.000694;0.448;5.58;0.000381;3.28;82.1;52.3;2.04;1.19e+04;17:20:51.755;0.16;
hash 5 iteration 19 probe 16;8.68e+03;1.04;8.88;0;9.54;34;0;0;0;0;0;2018-11-05;0.153;0.0924;1.44e+04;0.306;7.66;1.66;0.537;9.31;0.000646;0.451;5.08;0.000353;3.32;82.9;51.2;1.88;1.17e+04;17:30:56.507;0.161;
hash 4 iteration 22 probe 20;8.48e+03;1.03;8.86;0;10.4;34;0;0;0;0;0;2018-11-05;0.153;0.091;1.43e+04;0.306;7.64;1.68;0.6;8.26;0.00058;0.459;4.44;0.000311;3.36;84;50;1.65;1.17e+04;17:28:20.165;0.157;
hash 3 iteration 22 probe 20;8.09e+03;1.02;8.76;0;10.7;30.7;0;0;0;0;0;2018-11-05;0.153;0.0892;1.39e+04;0.306;7.65;1.72;0.613;6.81;0.000491;0.52;3.25;0.000234;3.43;85.8;50.3;1.24;1.13e+04;17:29:09.471;0.152;
hash 8 iteration 9 probe 18;9.81e+03;1.03;9.55;0;14.5;20.5;0;0;0;0;0;2018-11-05;0.156;0.0985;1.55e+04;0.311;7.79;1.58;0.546;13.5;0.000868;0.446;7.42;0.000478;3.16;79.1;56.2;2.6;1.25e+04;17:30:24.664;0.203;
hash 8 iteration 9 probe 12;9.39e+03;1.05;9.3;0;10.9;27.4;0;0;0;0;0;2018-11-05;0.158;0.0975;1.52e+04;0.316;7.89;1.62;0.521;11.4;0.000752;0.474;5.99;0.000394;3.24;80.9;53.9;2.16;1.2e+04;17:20:57.621;0.19;
hash 8 iteration 9 probe 10;8.89e+03;1.05;8.9;0;9.71;33.4;0;0;0;0;0;2018-11-05;0.153;0.0931;1.46e+04;0.306;7.64;1.64;0.527;9.98;0.000683;0.439;5.56;0.000381;3.29;82.1;51.1;2.06;1.19e+04;17:19:09.935;0.163;
hash 8 iteration 9 probe 16;9.3e+03;1.04;9.06;0;13.1;30.4;0;0;0;0;0;2018-11-05;0.152;0.0944;1.5e+04;0.304;7.61;1.61;0.56;12;0.000797;0.421;6.88;0.000459;3.23;80.6;53.3;2.44;1.23e+04;17:19:24.702;0.167;
hash 8 iteration 9 probe 14;9.17e+03;1.02;9.11;0;11;29.4;0;0;0;0;0;2018-11-05;0.152;0.0934;1.49e+04;0.303;7.58;1.62;0.479;11.1;0.000748;0.427;6.34;0.000426;3.25;81.2;53.7;2.27;1.23e+04;17:20:31.471;0.163;
hash 6 iteration 12 probe 20;9.23e+03;1.04;9.15;0;13;33;0;0;0;0;0;2018-11-05;0.152;0.0953;1.47e+04;0.303;7.59;1.59;0.555;11;0.000751;0.429;6.27;0.000427;3.18;79.6;54.1;2.22;1.21e+04;17:25:32.884;0.161;
hash 8 iteration 19 probe 2;8.61e+03;1.04;9.08;0;10.8;31.3;0;0;0;0;0;2018-11-05;0.161;0.0948;1.46e+04;0.321;8.04;1.7;0.64;7.3;0.0005;0.564;3.16;0.000216;3.39;84.8;50.7;1.31;1.14e+04;17:29:06.705;0.179;
hash 8 iteration 19 probe 4;8.47e+03;1.04;8.84;0;10.9;34.7;0;0;0;0;0;2018-11-05;0.156;0.0921;1.43e+04;0.311;7.78;1.69;0.55;7.71;0.000539;0.504;3.76;0.000263;3.38;84.4;49.8;1.52;1.15e+04;17:25:18.326;0.157;
hash 8 iteration 14 probe 8;9.08e+03;1.05;9.2;0;10.4;30.8;0;0;0;0;0;2018-11-05;0.158;0.0963;1.49e+04;0.317;7.92;1.65;0.542;10.1;0.000675;0.494;5.07;0.00034;3.29;82.3;53.3;1.9;1.18e+04;17:27:45.467;0.188;
hash 8 iteration 19 probe 6;8.93e+03;1.04;9.23;0;15.4;15;0;0;0;0;0;2018-11-05;0.159;0.096;1.48e+04;0.318;7.96;1.66;0.549;9.15;0.000618;0.517;4.39;0.000296;3.32;83;52.5;1.71;1.16e+04;17:25:58.663;0.185;
hash 5 iteration 12 probe 20;8.96e+03;1.05;9.02;0;10.9;28.7;0;0;0;0;0;2018-11-05;0.156;0.0947;1.48e+04;0.312;7.8;1.65;0.581;10.6;0.000718;0.446;5.84;0.000396;3.3;82.4;53.3;2.15;1.18e+04;17:19:59.480;0.172;
hash 8 iteration 19 probe 8;9.73e+03;1.04;9.89;0;11;33.8;0;0;0;0;0;2018-11-05;0.182;0.103;1.72e+04;0.364;9.09;1.77;0.567;9.78;0.000569;0.473;5.13;0.000299;3.53;88.3;52.8;2.01;1.18e+04;17:18:32.176;0.186;
hash 8 iteration 14 probe 4;8.88e+03;1.05;9.24;0;10.2;31.6;0;0;0;0;0;2018-11-05;0.16;0.0966;1.47e+04;0.321;8.02;1.66;0.635;8.27;0.000561;0.536;3.82;0.000259;3.32;83.1;53.1;1.54;1.15e+04;17:28:14.530;0.186;
hash 3 iteration 22 probe 18;8.08e+03;1.04;8.67;0;10.6;35.5;0;0;0;0;0;2018-11-05;0.154;0.0902;1.38e+04;0.308;7.71;1.71;0.617;6.58;0.000476;0.514;3.17;0.000229;3.42;85.5;48.1;1.23;1.12e+04;17:26:10.189;0.155;
hash 4 iteration 25 probe 20;8.9e+03;1.04;9.2;0;10.3;29.1;0;0;0;0;0;2018-11-05;0.16;0.0962;1.48e+04;0.319;7.98;1.66;0.604;9.08;0.000614;0.506;4.46;0.000302;3.32;83;50.8;1.67;1.16e+04;17:18:49.656;0.189;
hash 8 iteration 14 probe 2;8.57e+03;1.04;9.09;0;11.9;32;0;0;0;0;0;2018-11-05;0.161;0.0946;1.46e+04;0.321;8.03;1.7;0.604;7.31;0.000502;0.57;3.12;0.000215;3.4;84.9;49.7;1.32;1.13e+04;17:20:48.836;0.184;
hash 7 iteration 22 probe 6;8.39e+03;1.02;8.81;0;11.4;34.2;0;0;0;0;0;2018-11-05;0.153;0.0901;1.42e+04;0.305;7.63;1.69;0.595;7.9;0.000556;0.49;4.01;0.000282;3.39;84.7;49.3;1.57;1.16e+04;17:21:59.099;0.155;
hash 7 iteration 22 probe 4;8.29e+03;1.01;8.87;0;12;29.8;0;0;0;0;0;2018-11-05;0.153;0.0899;1.41e+04;0.306;7.65;1.7;0.598;7.07;0.000501;0.513;3.42;0.000242;3.4;85.1;48.7;1.38;1.15e+04;17:20:13.938;0.152;
hash 8 iteration 25 probe 20;9.44e+03;1.04;9.06;0;9.43;31.9;0;0;0;0;0;2018-11-05;0.151;0.0947;1.5e+04;0.301;7.54;1.59;0.511;12.8;0.000849;0.401;7.61;0.000506;3.18;79.6;55;2.63;1.25e+04;17:30:41.870;0.166;
hash 7 iteration 22 probe 2;8.15e+03;1.03;8.73;0;10.8;32.1;0;0;0;0;0;2018-11-05;0.154;0.0896;1.4e+04;0.308;7.7;1.72;0.621;6.42;0.000458;0.543;2.9;0.000207;3.43;85.9;50.7;1.24;1.14e+04;17:31:02.201;0.153;
hash 7 iteration 22 probe 8;8.66e+03;1.04;8.87;0;9.68;32;0;0;0;0;0;2018-11-05;0.154;0.0926;1.44e+04;0.308;7.71;1.67;0.595;8.73;0.000605;0.47;4.6;0.000319;3.33;83.3;51.1;1.74;1.17e+04;17:30:44.726;0.156;
hash 7 iteration 17 probe 20;9.18e+03;1.05;8.93;0;10.5;26.5;0;0;0;0;0;2018-11-05;0.151;0.0938;1.48e+04;0.303;7.56;1.61;0.466;11.8;0.000794;0.415;6.85;0.000463;3.22;80.6;54.6;2.38;1.22e+04;17:28:08.848;0.158;
hash 4 iteration 25 probe 16;8.7e+03;1.03;9.14;0;10.3;31.5;0;0;0;0;0;2018-11-05;0.158;0.0941;1.46e+04;0.316;7.9;1.68;0.591;8.49;0.000581;0.53;3.97;0.000272;3.36;84;51.1;1.53;1.16e+04;17:24:41.007;0.182;
hash 5 iteration 12 probe 14;8.93e+03;1.02;9.29;0;12.3;30.5;0;0;0;0;0;2018-11-05;0.157;0.095;1.48e+04;0.314;7.86;1.65;0.559;9.52;0.000644;0.501;4.72;0.00032;3.31;82.7;52;1.79;1.17e+04;17:25:35.742;0.185;
hash 7 iteration 9 probe 20;9.25e+03;1.05;9.01;0;11.4;28.1;0;0;0;0;0;2018-11-05;0.152;0.0943;1.49e+04;0.303;7.58;1.61;0.508;11.9;0.000801;0.411;6.97;0.000469;3.21;80.3;52.9;2.43;1.23e+04;17:19:33.316;0.169;
hash 8 iteration 2 probe 14;9.7e+03;1.05;9.49;0;10.7;29.9;0;0;0;0;0;2018-11-05;0.158;0.0994;1.54e+04;0.317;7.92;1.59;0.499;12.2;0.000792;0.453;6.66;0.000431;3.19;79.7;57.2;2.36;1.22e+04;17:26:59.164;0.21;
hash 8 iteration 12 probe 20;9.86e+03;1.05;9.43;0;12.1;29.1;0;0;0;0;0;2018-11-05;0.156;0.0987;1.55e+04;0.311;7.78;1.58;0.502;13.7;0.000882;0.439;7.65;0.000493;3.15;78.8;56.6;2.64;1.25e+04;17:23:34.422;0.191;
hash 6 iteration 17 probe 20;9.52e+03;1.04;9.46;0;11.8;28.6;0;0;0;0;0;2018-11-05;0.158;0.0985;1.52e+04;0.315;7.88;1.6;0.522;12.6;0.000827;0.493;6.36;0.000417;3.2;80;54.9;2.26;1.21e+04;17:25:04.276;0.193;
hash 7 iteration 19 probe 18;9.16e+03;1.04;9.01;0;10.7;32.7;0;0;0;0;0;2018-11-05;0.152;0.094;1.48e+04;0.304;7.59;1.62;0.527;11.4;0.000772;0.411;6.7;0.000452;3.23;80.8;53.7;2.36;1.22e+04;17:28:34.849;0.167;
hash 6 iteration 12 probe 12;9.02e+03;1.05;9.17;0;10.3;31;0;0;0;0;0;2018-11-05;0.159;0.0961;1.49e+04;0.317;7.93;1.65;0.542;9.91;0.000666;0.491;5.02;0.000337;3.3;82.5;52.5;1.88;1.17e+04;17:28:37.712;0.187;
hash 8 iteration 22 probe 18;9.33e+03;1.04;9.04;0;9.63;32.1;0;0;0;0;0;2018-11-05;0.151;0.0944;1.5e+04;0.302;7.56;1.6;0.528;12.3;0.000824;0.402;7.33;0.00049;3.21;80.1;53.2;2.55;1.24e+04;17:18:40.922;0.168;
hash 7 iteration 14 probe 20;9.15e+03;1.03;9;0;11.1;28.1;0;0;0;0;0;2018-11-05;0.15;0.0928;1.48e+04;0.3;7.51;1.62;0.464;11.9;0.0008;0.414;6.91;0.000467;3.24;80.9;52.4;2.43;1.23e+04;17:19:04.044;0.161;
hash 8 iteration 22 probe 14;9.29e+03;1.04;9.18;0;10.7;28.8;0;0;0;0;0;2018-11-05;0.154;0.0952;1.5e+04;0.307;7.68;1.61;0.515;11.5;0.00077;0.45;6.32;0.000421;3.23;80.7;54.7;2.28;1.22e+04;17:19:21.699;0.182;
hash 7 iteration 19 probe 10;9.1e+03;1.04;9.23;0;10.1;30.5;0;0;0;0;0;2018-11-05;0.158;0.0965;1.49e+04;0.317;7.92;1.64;0.562;10.2;0.000682;0.486;5.21;0.000348;3.28;82.1;52.9;1.95;1.18e+04;17:29:52.635;0.19;
hash 8 iteration 22 probe 16;1.03e+04;1.03;10.2;0;11.8;23.7;0;0;0;0;0;2018-11-05;0.166;0.105;1.63e+04;0.333;8.32;1.58;0.521;14.7;0.0009;0.519;6.98;0.000427;3.17;79.2;57.8;2.54;1.23e+04;17:18:03.150;0.239;
hash 7 iteration 19 probe 12;9.28e+03;1.03;9.32;0;12.2;29.9;0;0;0;0;0;2018-11-05;0.155;0.096;1.5e+04;0.311;7.77;1.62;0.513;11;0.000734;0.479;5.72;0.000381;3.24;80.9;55.1;2.03;1.21e+04;17:23:49.061;0.186;
hash 8 iteration 22 probe 10;9.41e+03;1.04;9.42;0;16;14.7;0;0;0;0;0;2018-11-05;0.16;0.0983;1.53e+04;0.32;8;1.63;0.56;11.4;0.000743;0.474;5.95;0.000389;3.25;81.4;54.8;2.2;1.2e+04;17:30:59.430;0.192;
hash 7 iteration 19 probe 14;9.05e+03;1.04;9.03;0;12;30.8;0;0;0;0;0;2018-11-05;0.152;0.0942;1.46e+04;0.304;7.59;1.61;0.549;10.3;0.000706;0.429;5.85;0.000401;3.22;80.6;54.4;2.12;1.2e+04;17:24:32.453;0.163;
hash 8 iteration 22 probe 12;9.37e+03;1.04;9.35;0;14.1;29.6;0;0;0;0;0;2018-11-05;0.157;0.0971;1.52e+04;0.314;7.86;1.62;0.517;11.4;0.000753;0.472;6.01;0.000396;3.24;81;54.3;2.18;1.21e+04;17:19:56.594;0.189;
hash 7 iteration 19 probe 16;9.41e+03;1.04;9.31;0;13.1;27.2;0;0;0;0;0;2018-11-05;0.157;0.0971;1.52e+04;0.314;7.85;1.62;0.574;11.9;0.00078;0.458;6.4;0.000421;3.23;80.8;55.1;2.28;1.21e+04;17:19:50.696;0.191;
hash 5 iteration 12 probe 12;8.48e+03;1.04;8.77;0;11.6;31.5;0;0;0;0;0;2018-11-05;0.153;0.0914;1.42e+04;0.306;7.65;1.67;0.614;8.36;0.000588;0.461;4.48;0.000315;3.35;83.7;50.2;1.7;1.16e+04;17:28:02.886;0.156;
hash 5 iteration 22 probe 18;1.06e+04;1.05;10.5;0;10.5;27;0;0;0;0;0;2018-11-05;0.156;0.11;1.5e+04;0.313;7.82;1.42;0.561;10.7;0.00071;0.478;5.54;0.000369;2.84;71;54;2.04;1.2e+04;17:25:26.981;0.197;
hash 6 iteration 7 probe 14;8.73e+03;1.04;8.84;0;10.9;34;0;0;0;0;0;2018-11-05;0.153;0.0923;1.44e+04;0.306;7.64;1.66;0.544;9.52;0.000659;0.456;5.16;0.000357;3.31;82.8;52.9;1.89;1.18e+04;17:30:36.035;0.157;
hash 7 iteration 22 probe 18;9.14e+03;1.05;8.93;0;10.6;27.8;0;0;0;0;0;2018-11-05;0.151;0.0937;1.48e+04;0.303;7.56;1.61;0.507;11.5;0.000777;0.424;6.57;0.000445;3.23;80.7;54.3;2.31;1.22e+04;17:28:46.481;0.159;
hash 8 iteration 9 probe 4;8.41e+03;1.05;8.72;0;10.5;29;0;0;0;0;0;2018-11-05;0.155;0.0916;1.42e+04;0.309;7.74;1.69;0.619;7.55;0.000531;0.505;3.7;0.000261;3.38;84.5;49.9;1.47;1.15e+04;17:18:29.289;0.156;
hash 6 iteration 25 probe 20;9.42e+03;1.04;9.36;0;9.98;29.5;0;0;0;0;0;2018-11-05;0.158;0.0977;1.52e+04;0.316;7.89;1.61;0.572;11.7;0.000771;0.459;6.31;0.000415;3.23;80.7;54.2;2.26;1.2e+04;17:22:10.722;0.191;
hash 8 iteration 9 probe 6;8.95e+03;1.05;9.2;0;9.98;31;0;0;0;0;0;2018-11-05;0.16;0.0963;1.48e+04;0.319;7.98;1.66;0.565;9.22;0.000621;0.515;4.45;0.0003;3.31;82.9;51.5;1.74;1.16e+04;17:20:43.030;0.191;
hash 8 iteration 9 probe 8;9.09e+03;1.05;9.17;0;10.3;30.7;0;0;0;0;0;2018-11-05;0.157;0.0961;1.48e+04;0.314;7.84;1.63;0.582;10;0.000674;0.493;5.04;0.000339;3.27;81.6;52.2;1.9;1.18e+04;17:19:36.219;0.197;
hash 7 iteration 22 probe 12;9.27e+03;1.05;9.3;0;11.3;28.6;0;0;0;0;0;2018-11-05;0.158;0.0973;1.51e+04;0.317;7.92;1.63;0.551;10.8;0.000713;0.481;5.55;0.000368;3.26;81.4;53.7;2.04;1.19e+04;17:23:57.519;0.19;
hash 5 iteration 12 probe 18;8.8e+03;1.04;8.92;0;13.3;32.6;0;0;0;0;0;2018-11-05;0.153;0.093;1.45e+04;0.306;7.65;1.65;0.515;9.77;0.000675;0.434;5.46;0.000377;3.29;82.3;51.4;2;1.18e+04;17:27:19.601;0.168;
hash 8 iteration 4 probe 6;8.55e+03;1.05;8.79;0;9.74;30;0;0;0;0;0;2018-11-05;0.154;0.092;1.43e+04;0.309;7.71;1.68;0.539;8.36;0.000583;0.478;4.33;0.000302;3.35;83.8;50;1.67;1.16e+04;17:18:14.878;0.155;
hash 7 iteration 22 probe 16;9.33e+03;1.04;9.25;0;10.4;32.3;0;0;0;0;0;2018-11-05;0.155;0.0962;1.5e+04;0.31;7.76;1.61;0.536;11.9;0.000793;0.435;6.7;0.000445;3.22;80.6;53.5;2.44;1.21e+04;17:21:00.593;0.18;
hash 7 iteration 22 probe 14;8.87e+03;1.03;8.92;0;11.2;29.7;0;0;0;0;0;2018-11-05;0.151;0.092;1.46e+04;0.303;7.57;1.65;0.492;10.3;0.000705;0.439;5.74;0.000394;3.29;82.3;51.2;2.08;1.21e+04;17:20:08.277;0.158;
hash 4 iteration 19 probe 16;8.34e+03;1.03;8.74;0;11.1;27.5;0;0;0;0;0;2018-11-05;0.153;0.0901;1.41e+04;0.305;7.64;1.7;0.554;7.68;0.000543;0.483;3.95;0.000279;3.39;84.8;50.1;1.5;1.16e+04;17:26:38.914;0.152;
