;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
hash 8 iteration 19 probe 12;9.06e+03;1.03;9.05;0;12.5;32.5;0;0;0;0;0;2018-11-05;0.152;0.093;1.48e+04;0.303;7.58;1.63;0.527;10.8;0.000731;0.442;5.95;0.000403;3.26;81.5;52.8;2.16;1.22e+04;17:27:48.433;0.16;
hash 8 iteration 19 probe 10;8.94e+03;1.04;8.98;0;10;33.2;0;0;0;0;0;2018-11-05;0.153;0.0935;1.46e+04;0.307;7.66;1.64;0.563;10.1;0.000692;0.444;5.61;0.000383;3.28;81.9;52.3;2.06;1.19e+04;17:23:46.119;0.163;
hash 8 iteration 19 probe 16;9.25e+03;1.05;9;0;10.2;32.6;0;0;0;0;0;2018-11-05;0.152;0.0941;1.49e+04;0.303;7.58;1.61;0.508;11.9;0.000797;0.424;6.81;0.000458;3.22;80.5;54.2;2.39;1.23e+04;17:24:15.235;0.163;
hash 8 iteration 19 probe 14;9.07e+03;1.04;8.96;0;9.65;32.8;0;0;0;0;0;2018-11-05;0.152;0.0935;1.48e+04;0.304;7.61;1.63;0.531;11.2;0.000758;0.433;6.31;0.000428;3.25;81.3;53.1;2.25;1.21e+04;17:24:23.806;0.16;
hash 5 iteration 12 probe 16;9.03e+03;1.04;9.22;0;12.1;30.8;0;0;0;0;0;2018-11-05;0.158;0.0961;1.49e+04;0.316;7.91;1.65;0.605;10.1;0.000678;0.488;5.13;0.000346;3.29;82.3;52;1.92;1.17e+04;17:21:18.049;0.19;
hash 8 iteration 19 probe 18;9.31e+03;1.03;9.08;0;12.8;31.4;0;0;0;0;0;2018-11-05;0.15;0.0932;1.5e+04;0.299;7.49;1.61;0.47;12.4;0.000827;0.418;7.16;0.000479;3.21;80.3;55;2.49;1.25e+04;17:20:46.074;0.159;
hash 7 iteration 17 probe 18;9.55e+03;1.04;9.38;0;10.6;29.6;0;0;0;0;0;2018-11-05;0.156;0.0979;1.52e+04;0.313;7.82;1.6;0.538;12.3;0.000805;0.453;6.68;0.000438;3.2;79.9;55.3;2.37;1.22e+04;17:28:52.328;0.188;
hash 8 iteration 7 probe 4;8.37e+03;1.05;8.71;0;9.9;31.6;0;0;0;0;0;2018-11-05;0.155;0.0912;1.42e+04;0.309;7.73;1.7;0.612;7.59;0.000535;0.506;3.72;0.000262;3.39;84.8;50.4;1.48;1.15e+04;17:24:20.836;0.156;
hash 8 iteration 4 probe 8;8.72e+03;1.05;8.81;0;10.4;28;0;0;0;0;0;2018-11-05;0.153;0.0925;1.44e+04;0.307;7.67;1.66;0.518;9.18;0.000635;0.463;4.9;0.000339;3.31;82.8;53.6;1.83;1.18e+04;17:30:33.158;0.156;
hash 4 iteration 22 probe 18;8.37e+03;1.04;8.74;0;10;34.6;0;0;0;0;0;2018-11-05;0.154;0.0911;1.42e+04;0.308;7.7;1.69;0.54;8.07;0.000569;0.476;4.2;0.000296;3.38;84.6;50;1.57;1.15e+04;17:26:50.174;0.158;
hash 6 iteration 9 probe 12;9.37e+03;1.04;9.52;0;13.9;31.3;0;0;0;0;0;2018-11-05;0.157;0.0989;1.48e+04;0.313;7.83;1.58;0.533;9.88;0.000666;0.485;5.06;0.000341;3.17;79.2;52.6;1.89;1.18e+04;17:23:02.622;0.177;
hash 6 iteration 9 probe 14;8.98e+03;1.04;9.13;0;12.1;33.7;0;0;0;0;0;2018-11-05;0.157;0.095;1.48e+04;0.314;7.84;1.65;0.594;10.4;0.000698;0.463;5.53;0.000373;3.3;82.6;52.6;2.13;1.18e+04;17:26:01.552;0.179;
hash 6 iteration 17 probe 16;8.87e+03;1.03;8.98;0;10.3;32.8;0;0;0;0;0;2018-11-05;0.152;0.0929;1.45e+04;0.304;7.61;1.64;0.532;10.1;0.000695;0.44;5.63;0.000387;3.28;81.9;52.1;2.04;1.19e+04;17:25:07.186;0.16;
hash 6 iteration 9 probe 16;8.86e+03;1.01;9.1;0;10.3;31.9;0;0;0;0;0;2018-11-05;0.151;0.092;1.46e+04;0.302;7.56;1.64;0.531;10.3;0.000705;0.445;5.67;0.000389;3.29;82.2;53.6;2.06;1.2e+04;17:27:16.709;0.157;
hash 6 iteration 9 probe 18;9.28e+03;1.03;9.33;0;11.8;29.8;0;0;0;0;0;2018-11-05;0.156;0.096;1.51e+04;0.312;7.8;1.63;0.544;11.3;0.000752;0.465;6.03;0.0004;3.25;81.3;52.6;2.18;1.21e+04;17:18:43.872;0.187;
hash 5 iteration 25 probe 20;8.74e+03;1.05;8.82;0;9.09;30.7;0;0;0;0;0;2018-11-05;0.152;0.0924;1.44e+04;0.305;7.62;1.65;0.542;10.4;0.000718;0.437;5.8;0.000402;3.3;82.5;52.7;1.99;1.18e+04;17:21:06.394;0.157;
hash 4 iteration 22 probe 16;8.43e+03;1.04;8.82;0;11.3;30.6;0;0;0;0;0;2018-11-05;0.155;0.0918;1.42e+04;0.31;7.74;1.69;0.585;7.95;0.000559;0.49;3.98;0.00028;3.37;84.3;49.9;1.53;1.15e+04;17:29:49.756;0.155;
hash 7 iteration 25 probe 8;9e+03;1.05;9.19;0;10.5;31.3;0;0;0;0;0;2018-11-05;0.159;0.0962;1.49e+04;0.319;7.96;1.65;0.539;9.38;0.00063;0.498;4.68;0.000315;3.31;82.7;51.8;1.79;1.17e+04;17:20:34.321;0.187;
hash 4 iteration 14 probe 18;8.42e+03;1.05;8.76;0;10.1;31.8;0;0;0;0;0;2018-11-05;0.155;0.0916;1.42e+04;0.31;7.75;1.69;0.581;8.06;0.000566;0.482;4.15;0.000292;3.38;84.6;51;1.56;1.15e+04;17:18:52.462;0.155;
hash 8 iteration 4 probe 4;8.78e+03;1.04;9.16;0;13.6;31.4;0;0;0;0;0;2018-11-05;0.159;0.0953;1.47e+04;0.319;7.97;1.67;0.574;8.22;0.00056;0.535;3.8;0.000259;3.35;83.6;51.4;1.52;1.15e+04;17:31:07.910;0.184;
hash 7 iteration 25 probe 2;8.47e+03;1.02;9.13;0;10.7;31.1;0;0;0;0;0;2018-11-05;0.159;0.0932;1.45e+04;0.318;7.96;1.71;0.603;7;0.000484;0.572;2.98;0.000206;3.42;85.4;49.5;1.28;1.14e+04;17:19:27.469;0.182;
hash 4 iteration 14 probe 16;8.73e+03;1.05;9.1;0;10.2;31.5;0;0;0;0;0;2018-11-05;0.159;0.0952;1.46e+04;0.319;7.97;1.67;0.604;8.52;0.000583;0.522;4.05;0.000277;3.35;83.7;51.2;1.54;1.15e+04;17:29:15.112;0.184;
