Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
40,4.28948899825283,4.28948899825283,83.4678,60.6905014514923,False,692,1,20,1,0.011402113731967
40,4.28948899825283,4.28948899825283,83.4678,60.7866981029511,False,683,1,20,1,0.011236010859535
50,4.28948899825283,4.28948899825283,83.4678,60.8196377754211,False,784,1,23,1,0.012890573319344
50,4.28948899825283,4.28948899825283,83.4678,60.8506197929382,False,798,1,23,1,0.013114081708871
60,4.28948899825283,4.28948899825283,83.4678,60.6856091022492,False,639,1,26,1,0.010529679267507
60,4.28948899825283,4.28948899825283,83.4678,60.7699811458588,False,652,1,26,1,0.010728981442912
70,4.28948899825283,4.28948899825283,83.4678,60.9503331184387,False,751,1,28,1,0.012321507719091
70,4.28948899825283,4.28948899825283,83.4678,60.9114713668823,False,752,1,29,1,0.012345786156938
80,4.28948899825283,4.28948899825283,83.4678,60.9580495357513,False,736,1,28,1,0.012073877127062
80,4.28948899825283,4.28948899825283,83.4678,60.782389163971,False,748,1,29,1,0.01230619609213
90,4.28948899825283,4.28948899825283,83.4678,61.0348236560822,False,798,1,34,1,0.013074503245828
90,4.28948899825283,4.28948899825283,83.4678,60.9075765609741,False,786,1,34,1,0.012904798456611
100,4.28948899825283,4.28948899825283,83.4678,61.0802881717682,False,800,1,34,1,0.013097515154976
100,4.28948899825283,4.28948899825283,83.4678,60.9578976631165,False,798,1,34,1,0.013091002652522
11,4.28948899825283,4.28948899825283,83.4678,59.8247885704041,False,323,1,10,1,0.005399099733046
11,4.28948899825283,4.28948899825283,83.4678,59.7350749969482,False,341,1,10,1,0.005708538911476
12,4.28948899825283,4.28948899825283,83.4678,59.6994376182556,False,377,1,11,1,0.006314967360509
12,4.28948899825283,4.28948899825283,83.4678,59.7824201583862,False,377,1,11,1,0.00630620170614
13,4.28948899825283,4.28948899825283,83.4678,59.6893565654755,False,377,1,11,1,0.006316033907761
13,4.28948899825283,4.28948899825283,83.4678,59.8221797943115,False,354,1,11,1,0.005917537629307
14,4.28948899825283,4.28948899825283,83.4678,59.7833926677704,False,361,1,11,1,0.006038466267817
14,4.28948899825283,4.28948899825283,83.4678,59.8401212692261,False,380,1,11,1,0.006350254510521
15,4.28948899825283,4.28948899825283,83.4678,59.7448151111603,False,414,1,12,1,0.006929471607364
15,4.28948899825283,4.28948899825283,83.4678,59.800445318222,False,409,1,12,1,0.006839413951243
16,4.28948899825283,4.28948899825283,83.4678,59.7954800128937,False,415,1,12,1,0.006940323915963
16,4.28948899825283,4.28948899825283,83.4678,59.7564172744751,False,413,1,12,1,0.006911391593358
17,4.28948899825283,4.28948899825283,83.4678,59.8914079666138,False,445,1,13,1,0.007430114186797
17,4.28948899825283,4.28948899825283,83.4678,59.8699500560761,False,437,1,13,1,0.007299154243334
18,4.28948899825283,4.28948899825283,83.4678,59.7469096183777,False,438,1,13,1,0.007330923102093
18,4.28948899825283,4.28948899825283,83.4678,59.6504285335541,False,440,1,13,1,0.007376309119934
19,4.28948899825283,4.28948899825283,83.4678,59.7802073955536,False,478,1,14,1,0.007995957538875
19,4.28948899825283,4.28948899825283,83.4678,59.9023206233978,False,445,1,14,1,0.007428760611758
20,4.28948899825283,4.28948899825283,83.4678,59.9328396320343,False,460,1,14,1,0.007675257885731
20,4.28948899825283,4.28948899825283,83.4678,59.8532590866089,False,457,1,14,1,0.007635340280113
